Site	TotAbund	Dens	MeanDepth	Year	Period	Xkm	Ykm	SweptArea
94	192	0.003441477	2487	1983	1	2.387291335	-9.268858796	55790
95	269	0.004508694	2500	2002	2	17.01124515	8.898104444	59662.50391
96	227	0.004280327	2504	2001	2	7.866346295	-1.297640231	53033.33203
97	196	0.003322034	2530	1981	1	4.776232777	-11.12263056	59000
98	71	0.00089252	2572	2002	2	-1.194718027	-14.08866537	79550
99	217	0.002617612	2645	1980	1	-23.61614815	48.19806574	82900
100	242	0.002376043	2670	1982	1	-28.42906997	31.51411991	101850
101	121	0.002599356	2737	1979	1	-24.9363589	18.53771759	46550
102	133	0.001702727	2855	1982	1	-37.1571248	135.3253384	78110
103	174	0.000778733	2875	1980	1	-37.87887358	35.22166343	223440
104	155	0.001800232	2970	1980	1	-35.83411861	-12.97640231	86100
105	150	0.002631079	3048	2000	2	-40.99205904	-9.565462278	57010.83203
106	61	0.000933435	3066	1979	1	-40.3309001	24.09903287	65350
107	187	0.002495996	3089	1983	1	-31.03478735	-9.268858796	74920
108	119	0.001994553	3099	2002	2	-36.86324929	-6.302823981	59662.50391
109	55	0.000691389	3126	2002	2	-51.31528586	-20.57686653	79550
110	71	0.001020023	3138	2001	2	-40.74410256	-14.6447969	69606.25781
111	57	0.000574192	3485	1982	1	-69.03982546	5.561315278	99270
112	84	0.000959945	3639	2001	2	-83.18070992	22.31941198	87505.00781
113	5	6.15E-05	3677	1980	1	-79.47559725	24.09903287	81290
114	100	0.001041124	3753	1977	1	-59.51709091	5.561315278	96050
115	25	0.000490196	3810	1981	1	-78.64438019	0	51000
116	88	0.000935673	3900	1981	1	-68.13182463	-16.68394583	94050
117	35	0.000562972	3985	1981	1	-78.94387466	-20.39148935	62170
118	62	0.000505133	3995	1983	1	-57.65067198	-42.63675046	122740
119	152	0.001032837	4001	2000	2	NA	NA	147167.5
120	17	0.000221903	4016	1978	1	-77.74775535	-20.39148935	76610
121	130	0.001089461	4020	2001	2	-118.9969732	7.229709861	119325.0078
122	27	0.000332144	4056	1979	1	-74.31253754	-31.51411991	81290
123	11	0.000106167	4062	1980	1	-92.00598678	-14.83017407	103610
124	37	0.000772765	4073	1977	1	-80.11238854	-18.53771759	47880
125	35	0.000643146	4118	1978	1	-88.54331126	-22.24526111	54420
126	54	0.000452546	4127	2001	2	-77.59084947	-42.82212764	119325
127	64	0.000647577	4222	1982	1	-72.13724821	-48.19806574	98830
128	26	0.00023071	4226	2002	2	-90.60525211	-38.18769824	112695.8359
129	2	1.48E-05	4242	1981	1	-78.17536143	-50.0518375	135490
130	56	0.000575954	4245	1982	1	-83.90125206	-31.51411991	97230
131	47	0.000508383	4292	1980	1	-119.6119313	-20.39148935	92450
132	31	0.00046763	4298	2001	2	-100.1776926	-51.6275435	66291.67188
133	4	5.01E-05	4320	1982	1	-108.1689273	-46.34429398	79920
134	23	0.000288582	4375	1980	1	-112.860617	-40.7829787	79700
135	12	0.00017508	4510	1979	1	-148.6250751	-31.51411991	68540
136	26	0.000250965	4565	1984	1	-429.8221529	-496.8108315	103600
137	10	0.000140376	4765	2002	2	-175.4220352	-63.39899417	71237.03125
138	35	0.000381388	4787	1979	1	-186.3374168	-12.97640231	91770
139	105	0.000998099	4800	1984	1	-178.180201	-248.4054157	105200
140	12	7.78E-05	4810	2002	2	-240.6486394	-116.0461121	154323.0313
141	7	6.79E-05	4811	2002	2	-226.2229457	-120.4951644	103096.8047
142	4	2.65E-05	4812	2002	2	-272.4072996	-148.3017407	150707.4688
143	10	8.62E-05	4812	2002	2	-261.4873989	-142.5550483	115983.8984
144	20	0.000155916	4840	2000	2	-275.2878982	-123.3499729	128274.3828
145	13	8.16E-05	4842	1986	1	-215.8402009	-126.0564796	159400
146	24	0.000264026	4846	1989	1	-259.1226501	-139.0328819	90900
147	38	0.000273973	4846	1989	1	-255.2863104	-135.3253384	138700
148	29	0.00021658	4865	1989	1	-248.7649773	-126.0564796	133900
